company,companyLabel,countryLabel,shipsBuilt,sizeClass,shipsInClass
http://www.wikidata.org/entity/Q218715,Blohm + Voss,Германия,239,5_handymax (180-200м),13
http://www.wikidata.org/entity/Q218715,Blohm + Voss,Германия,239,4_handysize (130-180м),65
http://www.wikidata.org/entity/Q239763,Avondale Shipyards,США,103,2_прибрежное (25-100м),7
http://www.wikidata.org/entity/Q292748,AG Weser,Германия,116,4_handysize (130-180м),35
http://www.wikidata.org/entity/Q292748,AG Weser,Германский рейх,116,4_handysize (130-180м),35
http://www.wikidata.org/entity/Q300860,Ольборгская судоверфь,Дания,81,2_прибрежное (25-100м),37
http://www.wikidata.org/entity/Q321221,Neptun Werft,Германия,147,4_handysize (130-180м),50
http://www.wikidata.org/entity/Q321221,Neptun Werft,Германия,147,3_mini-handy (100-130м),42
http://www.wikidata.org/entity/Q489243,Samsung Heavy Industries,Республика Корея,831,6_panamax (200-295м),581
http://www.wikidata.org/entity/Q527466,Bremer Vulkan,Германия,190,4_handysize (130-180м),77
http://www.wikidata.org/entity/Q527466,Bremer Vulkan,Германский рейх,190,4_handysize (130-180м),77
http://www.wikidata.org/entity/Q623503,William Beardmore and Company,Великобритания,47,4_handysize (130-180м),9
http://www.wikidata.org/entity/Q648280,Mitsubishi Heavy Industries,Япония,181,6_panamax (200-295м),40
http://www.wikidata.org/entity/Q672038,Escher Wyss & Cie.,Швейцария,10,2_прибрежное (25-100м),5
http://www.wikidata.org/entity/Q700418,Howaldtswerke-Deutsche Werft,Германия,262,2_прибрежное (25-100м),29
http://www.wikidata.org/entity/Q700418,Howaldtswerke-Deutsche Werft,Германия,262,4_handysize (130-180м),51
http://www.wikidata.org/entity/Q703194,Germaniawerft,Германский рейх,118,3_mini-handy (100-130м),31
http://www.wikidata.org/entity/Q705377,Meyer Werft,Германия,152,2_прибрежное (25-100м),36
http://www.wikidata.org/entity/Q807945,Barclay Curle,Великобритания,65,4_handysize (130-180м),18
http://www.wikidata.org/entity/Q839979,Красное Сормово,Россия,203,2_прибрежное (25-100м),25
http://www.wikidata.org/entity/Q848977,Harland and Wolff,Великобритания,434,4_handysize (130-180м),108
http://www.wikidata.org/entity/Q848977,Harland and Wolff,Великобритания,434,6_panamax (200-295м),57
http://www.wikidata.org/entity/Q1016699,Бурмейстер и Вайн,Дания,124,3_mini-handy (100-130м),9
http://www.wikidata.org/entity/Q1029631,Cammell Laird,Великобритания,257,4_handysize (130-180м),28
http://www.wikidata.org/entity/Q1158347,Damen Schelde Naval Shipbuilding,Нидерланды,60,4_handysize (130-180м),17
http://www.wikidata.org/entity/Q1327429,Fincantieri,Италия,270,4_handysize (130-180м),55
http://www.wikidata.org/entity/Q1397597,Fassmer,Германия,36,2_прибрежное (25-100м),29
http://www.wikidata.org/entity/Q1547220,Sir Raylton Dixon,,13,3_mini-handy (100-130м),1
http://www.wikidata.org/entity/Q1548575,"R. & W. Hawthorn, Leslie and Company",Великобритания,129,2_прибрежное (25-100м),15
http://www.wikidata.org/entity/Q1571257,"Hall, Russell & Company",Великобритания,832,2_прибрежное (25-100м),13
http://www.wikidata.org/entity/Q1631703,Howaldtswerke Hamburg,Германия,61,5_handymax (180-200м),6
http://www.wikidata.org/entity/Q1631703,Howaldtswerke Hamburg,Германский рейх,61,5_handymax (180-200м),6
http://www.wikidata.org/entity/Q1691902,Joh. C. Tecklenborg,Германия,36,2_прибрежное (25-100м),10
http://www.wikidata.org/entity/Q1826035,Lindenau Shipyard,Германия,77,2_прибрежное (25-100м),14
http://www.wikidata.org/entity/Q2365833,Sun Shipbuilding & Drydock Co.,США,73,4_handysize (130-180м),17
http://www.wikidata.org/entity/Q2506669,VT Group,Великобритания,20,2_прибрежное (25-100м),4
http://www.wikidata.org/entity/Q2578470,William Denny and Brothers,Великобритания,170,2_прибрежное (25-100м),24
http://www.wikidata.org/entity/Q2634589,Черноморский судостроительный завод,Украина,104,5_handymax (180-200м),13
http://www.wikidata.org/entity/Q4978195,Stocznia Gdynia,Польша,210,4_handysize (130-180м),57
http://www.wikidata.org/entity/Q5588432,Gourlay Brothers,Великобритания,16,2_прибрежное (25-100м),2
http://www.wikidata.org/entity/Q7330990,Richmond Shipyards,США,23,3_mini-handy (100-130м),6
http://www.wikidata.org/entity/Q10577472,Marinteknik,Швеция,29,2_прибрежное (25-100м),27
http://www.wikidata.org/entity/Q14552001,Jansen-Werft,Германия,42,2_прибрежное (25-100м),32
http://www.wikidata.org/entity/Q28569825,Robert Napier and Sons,Великобритания,34,3_mini-handy (100-130м),5
http://www.wikidata.org/entity/Q49961350,Boelwerf Vlaanderen NV,Бельгия,23,3_mini-handy (100-130м),4
http://www.wikidata.org/entity/Q82610,Newport News Shipbuilding,США,221,2_прибрежное (25-100м),7
http://www.wikidata.org/entity/Q82610,Newport News Shipbuilding,США,221,4_handysize (130-180м),15
http://www.wikidata.org/entity/Q218715,Blohm + Voss,Германия,239,2_прибрежное (25-100м),44
http://www.wikidata.org/entity/Q218715,Blohm + Voss,Германия,239,3_mini-handy (100-130м),33
http://www.wikidata.org/entity/Q292745,AG Vulcan Stettin,Веймарская республика,195,4_handysize (130-180м),23
http://www.wikidata.org/entity/Q292745,AG Vulcan Stettin,Германская империя,195,4_handysize (130-180м),23
http://www.wikidata.org/entity/Q292748,AG Weser,Германия,116,5_handymax (180-200м),4
http://www.wikidata.org/entity/Q292748,AG Weser,Германский рейх,116,5_handymax (180-200м),4
http://www.wikidata.org/entity/Q304148,Österreichische Schiffswerften AG,Австрия,26,2_прибрежное (25-100м),14
http://www.wikidata.org/entity/Q316438,Deutsche Werft,Германия,66,2_прибрежное (25-100м),3
http://www.wikidata.org/entity/Q316438,Deutsche Werft,Нацистская Германия,66,2_прибрежное (25-100м),3
http://www.wikidata.org/entity/Q316438,Deutsche Werft,Веймарская республика,66,2_прибрежное (25-100м),3
http://www.wikidata.org/entity/Q316438,Deutsche Werft,Германская империя,66,2_прибрежное (25-100м),3
http://www.wikidata.org/entity/Q316438,Deutsche Werft,Германский рейх,66,2_прибрежное (25-100м),3
http://www.wikidata.org/entity/Q327429,Wärtsilä,Финляндия,90,6_panamax (200-295м),9
http://www.wikidata.org/entity/Q378849,Navantia,Испания,38,4_handysize (130-180м),10
http://www.wikidata.org/entity/Q703194,Germaniawerft,Германский рейх,118,4_handysize (130-180м),10
http://www.wikidata.org/entity/Q763386,Brest Arsenal,Франция,44,2_прибрежное (25-100м),4
http://www.wikidata.org/entity/Q765925,Chantiers de l'Atlantique,Франция,168,3_mini-handy (100-130м),7
http://www.wikidata.org/entity/Q780696,Austal,Австралия,90,2_прибрежное (25-100м),72
http://www.wikidata.org/entity/Q827085,Nobiskrug,Германия,84,2_прибрежное (25-100м),34
http://www.wikidata.org/entity/Q845144,Trondhjems mekaniske Værksted,Норвегия,48,2_прибрежное (25-100м),18
http://www.wikidata.org/entity/Q846694,William Cramp and Sons,США,149,2_прибрежное (25-100м),4
http://www.wikidata.org/entity/Q1229954,Norderwerft Hamburg,Германия,11,2_прибрежное (25-100м),10
http://www.wikidata.org/entity/Q1229954,Norderwerft Hamburg,Германский рейх,11,2_прибрежное (25-100м),10
http://www.wikidata.org/entity/Q1362430,Lübecker Maschinenbau Gesellschaft,Германия,8,3_mini-handy (100-130м),4
http://www.wikidata.org/entity/Q1552142,Reiherstieg Schiffswerfte & Maschinenfabrik,Германия,37,3_mini-handy (100-130м),3
http://www.wikidata.org/entity/Q1795881,Kölner Werft,Германия,7,2_прибрежное (25-100м),6
http://www.wikidata.org/entity/Q2258010,Boelwerf,Бельгия,21,4_handysize (130-180м),5
http://www.wikidata.org/entity/Q2868909,Ateliers et Chantiers de France,Франция,20,4_handysize (130-180м),9
http://www.wikidata.org/entity/Q3077298,Société Nouvelle des Forges et Chantiers de la Méditerranée,Франция,91,2_прибрежное (25-100м),14
http://www.wikidata.org/entity/Q3077298,Société Nouvelle des Forges et Chantiers de la Méditerranée,Франция,91,3_mini-handy (100-130м),4
http://www.wikidata.org/entity/Q3655760,Cantiere navale fratelli Orlando,Италия,32,4_handysize (130-180м),3
http://www.wikidata.org/entity/Q7106621,Oshima Shipbuilding,Япония,754,6_panamax (200-295м),257
http://www.wikidata.org/entity/Q10727553,Öresund shipyard,Швеция,63,6_panamax (200-295м),4
http://www.wikidata.org/entity/Q11382415,Sasaki Shipbuilding,Япония,23,2_прибрежное (25-100м),10
http://www.wikidata.org/entity/Q12501564,PT PAL,Индонезия,5,2_прибрежное (25-100м),1
http://www.wikidata.org/entity/Q13188857,Schiffswerft Diedrich,Германия,19,2_прибрежное (25-100м),16
http://www.wikidata.org/entity/Q13188857,Schiffswerft Diedrich,Германия,19,1_малое (<25м),2
http://www.wikidata.org/entity/Q14329180,Lux-Werft und Schifffahrt,Германия,48,2_прибрежное (25-100м),40
http://www.wikidata.org/entity/Q14685545,John Roach & Sons,США,20,2_прибрежное (25-100м),2
http://www.wikidata.org/entity/Q16565979,Factorías Vulcano,Испания,25,3_mini-handy (100-130м),13
http://www.wikidata.org/entity/Q17773943,Fredrikstad Mekaniske Verksted,Норвегия,47,2_прибрежное (25-100м),10
http://www.wikidata.org/entity/Q21036308,SET Schiffbau- u. Entwicklungsgesellschaft Tangermünde,Германия,12,2_прибрежное (25-100м),10
http://www.wikidata.org/entity/Q85718221,Mitsui Tamano Shipyard,Япония,218,4_handysize (130-180м),22
http://www.wikidata.org/entity/Q292745,AG Vulcan Stettin,Веймарская республика,195,2_прибрежное (25-100м),28
http://www.wikidata.org/entity/Q292745,AG Vulcan Stettin,Германская империя,195,2_прибрежное (25-100м),28
http://www.wikidata.org/entity/Q292748,AG Weser,Германия,116,2_прибрежное (25-100м),15
http://www.wikidata.org/entity/Q292748,AG Weser,Германский рейх,116,2_прибрежное (25-100м),15
http://www.wikidata.org/entity/Q309084,Alstom,Франция,5,6_panamax (200-295м),4
http://www.wikidata.org/entity/Q527466,Bremer Vulkan,Германия,190,2_прибрежное (25-100м),5
http://www.wikidata.org/entity/Q527466,Bremer Vulkan,Германский рейх,190,2_прибрежное (25-100м),5
http://www.wikidata.org/entity/Q531348,Kaiserliche Werft Danzig,Германия,30,2_прибрежное (25-100м),23
