companyLabel,countryLabel,shipsBuilt
Верфь Hyundai Mipo,Республика Корея,1480
Hyundai Heavy Industries,Республика Корея,1113
Hanwha Ocean,Республика Корея,1105
Q1571257,Великобритания,832
Samsung Heavy Industries,Республика Корея,831
Q7106621,Япония,753
Q2642233,Великобритания,743
Q11502552,Япония,739
Q11481552,Япония,600
Q489251,Республика Корея,586
Imabari Shipbuilding,Япония,566
Q877321,Германия,555
Harland and Wolff,Великобритания,432
Q15411288,Китай,382
Q1700840,Великобритания,339
Q85913512,Япония,336
Swan Hunter,Великобритания,309
Q1189406,Норвегия,304
Q5613742,Китай,302
Q115168196,Китай,299
Q5210936,Китай,287
Bath Iron Works,США,280
Q703928,Китайская Республика (Тайвань),280
Bethlehem Shipbuilding,США,273
Q11415470,Япония,273
Q85717793,Нидерланды,272
Sasebo Heavy Industries,Япония,267
Q60045486,Китай,267
Fincantieri,Италия,266
Русенский судостроительный завод,Болгария,265
Q11484094,Япония,262
Hanjin Heavy Industries,Республика Корея,259
Howaldtswerke-Deutsche Werft,Германия,258
Cammell Laird,Великобритания,256
Japan Marine United,Япония,255
Щецинская судоверфь имени Адольфа Варского,Польша,247
Верфь Китая CSC Jinling Shipyard,Китай,243
Q11282532,Япония,234
Blohm + Voss,Германия,227
Q11250929,,227
Nordic Yards Wismar,Германия,224
John Brown & Company,Великобритания,223
Цзяннаньский судостроительный завод,Китай,222
Newport News Shipbuilding,США,220
Q85718221,Япония,218
Ingalls Shipbuilding,США,216
Q11465503,Япония,216
Q4978195,Польша,210
Q11590668,Япония,204
Красное Сормово,Россия,203
Q60390540,Китай,201
Q8637936,Китай,195
Q634984,США,193
AG Vulcan Stettin,Веймарская республика,193
AG Vulcan Stettin,Германская империя,193
Q578212,Словакия,191
Q115155504,Республика Корея,190
Bremer Vulkan,Германия,189
Bremer Vulkan,Германский рейх,189
Q1778277,Дания,188
Yarrow Shipbuilders,Великобритания,187
Yarrow Shipbuilders,Соединённое королевство Великобритании и Ирландии,187
Q5163305,США,185
Q6198710,Япония,184
Q1393251,Великобритания,180
Mitsubishi Heavy Industries,Япония,180
Q11357146,Япония,180
Q4686063,Румыния,180
Q11502553,Япония,180
Q11395932,Япония,178
Q2638839,Нидерланды,178
Q12744193,Румыния,174
Q889816,Нидерланды,173
Q90155277,Великобритания,173
Гданьская судоверфь,Польша,171
William Denny and Brothers,Великобритания,170
Q60392782,Китай,170
Chantiers de l'Atlantique,Франция,168
New York Shipbuilding,США,165
Sumitomo Heavy Industries,Япония,165
Q115162051,Китай,165
Q19827622,Дания,163
Mitsubishi Heavy Industries Nagasaki Shipyard & Machinery,Япония,162
Q14715404,США,159
Заводы Шихау,Пруссия,155
Заводы Шихау,Германский рейх,155
Q17193673,Япония,155
Q11419682,Япония,153
Meyer Werft,Германия,152
Q323531,Германия,151
Uljanik,Хорватия,150
Uljanik,Австро-Венгрия,150
Uljanik,Югославия,150
William Cramp and Sons,США,149
Зеленодольский завод имени А. М. Горького,,148
Nordic Yards Warnemünde,Германия,148
Neptun Werft,Германия,147
Boston Navy Yard,США,143
Армстронг Уитуорт,Великобритания,143
Cestné a Stavebné Mechanizmy Tisovec,Словакия,143
Q11592949,Япония,141
Северная верфь,Россия,140
Q11407898,Япония,138
Q13403563,Китай,137
Nordseewerke,Германия,131
"R. & W. Hawthorn, Leslie and Company",Великобритания,129
Q11401869,Япония,129
Jiangsu Hantong Ship Heavy Industry,Китай,129
Q11544607,Япония,129
Todd Pacific Shipyards,США,127
Q2297404,Хорватия,126
Q2297404,Австро-Венгрия,126
Q2297404,Югославия,126
Q11522869,Япония,126
Q5208288,Румыния,123
Vickers-Armstrongs,Великобритания,123
Q11269026,Япония,123
Bethlehem Steel,США,122
Q1408079,Швеция,122
Бурмейстер и Вайн,Дания,121
Q882348,Германия,121
Q109461966,Китай,120
Q53909604,Китай,120
Q3437865,Норвегия,117
Germaniawerft,Германский рейх,114
AG Weser,Германия,114
AG Weser,Германский рейх,114
John I. Thornycroft & Company,Великобритания,111
Schichau Seebeck,Германия,110
Николаевский судостроительный завод,Украина,110
Чатемская верфь,Великобритания,109
Q483564,Республика Корея,109
Балтийский завод,Россия,107
Q8207463,Япония,107
Бродосплит,Хорватия,106
Q2079531,Германия,106
Q5389052,Швеция,105
Q17217132,Япония,105
Q1774285,Норвегия,105
Черноморский судостроительный завод,Украина,104
Q18338801,Япония,104
Avondale Shipyards,США,103
Q5976644,США,103
Девонпорт (военно-морская база),Великобритания,103
Flender Werke,Германия,102
Flender Werke,Нацистская Германия,102
Flender Werke,Германский рейх,102
Варненский судостроительный завод,Болгария,102
Q1673509,Германия,99
Q24204847,Великобритания,99
Fore River Shipyard,США,99
Q115322850,Япония,98
Karlskronavarvet,Швеция,96
Q100235343,Нидерланды,95
Q56239675,Нидерланды,95
Q2477530,Норвегия,95
Q5629591,Филиппины,95
Kawasaki Heavy Industries,Япония,94
Q11957113,Норвегия,92
Портсмут,Великобритания,92
Société Nouvelle des Forges et Chantiers de la Méditerranée,Франция,91
Austal,Австралия,90
Нью-Йоркская военно-морская верфь,США,90
Соломбальская верфь (казённая мануфактура),Российская империя,90
Wärtsilä,Финляндия,89
Q1559702,Швеция,89
Q52265373,Норвегия,88
Q617597,Великобритания,87
IHI Corporation,Япония,86
Q5305967,США,85
Palmers Shipbuilding and Iron Company,Великобритания,85
Q2578500,Великобритания,85
Адмиралтейские верфи,Россия,84
Q1676408,Великобритания,84
Херсонский судостроительный завод,Украина,82
Permanente Metals,США,82
Q827085,Германия,81
Q2298785,Нидерланды,81
Ольборгская судоверфь,Дания,80
Q3200761,Норвегия,80
Q106351770,Китай,80
Q11535794,Япония,80
Q1973983,Нидерланды,79
Scotts Shipbuilding and Engineering Company,Великобритания,79
National Steel and Shipbuilding Company,США,79
Военно-морская верфь Филадельфии,США,78
American Ship Building Company,США,78
Hyundai Vinashin Shipyard,Вьетнам,78
Q1826035,Германия,77
Q12002778,Норвегия,75
Elbewerft Boizenburg,ГДР,75
Q2594517,Нидерланды,74
Q24887178,Япония,74
Sun Shipbuilding & Drydock Co.,США,73
Q56231733,Япония,73
Q261421,Германия,73
Q11466212,Япония,73
Q113462651,Япония,73
Q4976260,США,72
Gio. Ansaldo & C.,Италия,72
Q1289733,Великобритания,71
Q55947781,Норвегия,71
Q18549846,Румыния,71
Q17190616,Япония,71
Q116689843,США,71
Q1720581,Нидерланды,70
Q1790613,,70
Q1369698,Португалия,70
Q7054594,США,69
Q52288275,Норвегия,68
Q4861094,Нидерланды,68
Q2666279,Германия,68
Q5251665,США,67
Q5871699,Япония,67
Bethlehem Fairfield Shipyard,,67
Волгоградский судостроительный завод,Россия,67
Charleston Naval Shipyard,США,66
Q20710586,США,66
Barclay Curle,Великобритания,65
Ferguson Shipbuilders,Великобритания,65
Q56161333,Нидерланды,65
Q1126024,Польша,65
Q316438,Германия,64
Q316438,Нацистская Германия,64
Q316438,Веймарская республика,64
Q316438,Германская империя,64
Q316438,Германский рейх,64
Судостроительная корпорация Сиэтл-Такома,США,64
Q5260949,Великобритания,64
Q10727553,Швеция,63
Q3655748,Италия,63
Incat,Австралия,63
Q2813947,Япония,63
Q47109032,Норвегия,63
Q9266563,Польша,63
Q5020962,США,63
Q11632310,Япония,63
Q1267285,Германия,62
Q6883239,Япония,62
Q1453164,Дания,62
ИХЦ,Нидерланды,61
Q1631703,Германия,61
Q1631703,Германский рейх,61
Q11890180,Финляндия,61
Q1746543,Великобритания,61
Q2210573,ГДР,61
Q5147321,Канада,61
Q17749542,Норвегия,61
Майдзуру,Япония,60
Naval Group,Франция,60
Q11989662,Норвегия,60
Q2956389,Канада,60
Q7885783,США,60
Q1158347,Нидерланды,59
Q3505627,Великобритания,59
Q2593294,Великобритания,59
Q1604557,Дания,58
Q3655767,Италия,58
Q28721321,Китай,58
Q52503328,Норвегия,57
Q301348,Дания,57
Q7988166,США,56
Выборгский судостроительный завод,Россия,56
Q3655776,Италия,56
Q30931022,Китай,56
Q104520543,Нидерланды,56
Q52287703,Норвегия,56
Q11294418,Япония,56
Q6103890,,56
Norfolk Naval Shipyard,США,55
Военно-морской арсенал в Йокосуке,Японская империя,55
Stabilimento Tecnico Triestino,,55
Meyer Turku,Финляндия,55
Q55402501,Румыния,55
Q12740726,Румыния,54
Арсенал в Картахене,Испания,54
Q18343360,Норвегия,54
Q1025914,Великобритания,53
Damen Shipyards Group,Нидерланды,53
Q318326,Германия,53
Q318326,Германский рейх,53
Q2295400,Великобритания,53
Q16575033,Испания,51
Q5541573,США,50
Q20065184,Великобритания,50
Q1439358,Норвегия,50
Q114403355,Республика Корея,50
Q84609765,Нидерланды,50
Дешимаг,Нацистская Германия,49
Дешимаг,Веймарская республика,49
Q6351825,Норвегия,49
Q111972124,Португалия,49
Mare Island NSY,США,48
Q845144,Норвегия,48
Q889362,Германия,48
Q621541,Великобритания,48
Q1032384,Канада,48
Q248036,Великобритания,48
Q22266452,Испания,48
Q11162731,Норвегия,48
Q623503,Великобритания,47
Q14329180,Германия,47
Q17773943,Норвегия,47
Виккерс,Великобритания,47
Q1747787,Германия,47
Q1747787,Германский рейх,47
Q56249339,Нидерланды,47
Q108941303,Испания,47
Q56605049,Китай,47
Oregon Shipbuilding Corporation,США,47
Q52276032,Норвегия,46
Q11394144,Япония,46
Q1297442,Норвегия,45
Янтарь (судостроительный завод),Россия,45
Lürssen Werft,Германия,45
Q3817603,Финляндия,45
Q50136501,Норвегия,45
Q763386,Франция,44
Q1606052,Дания,44
Q6104202,Великобритания,44
Q5166879,Великобритания,44
William Gray & Company,Великобритания,43
Q1063973,Великобритания,43
Q278500,Великобритания,43
Q54986759,Испания,43
Q1250754,Германия,43
Q52280075,Норвегия,43
Q56121072,Китай,43
Q14552001,Германия,42
Q6379823,Япония,42
Арсенал флота в Сасэбо,Япония,42
Q17772480,Норвегия,42
Q52279283,Дания,42
Q17083313,Турция,42
Q11962478,Норвегия,41
Q11503599,Япония,41
Q10562558,Швеция,40
Q84419790,Китай,40
Valmet,Финляндия,39
Austal USA,США,39
Q52278903,Норвегия,39
Remontowa Shipbuilding,Польша,39
Керченский судостроительный завод,Россия,39
Керченский судостроительный завод,Украина,39
STX Finland,Финляндия,39
Q7963812,США,39
Q113698960,Индия,39
Navantia,Испания,38
Военно-морской арсенал Куре,Япония,38
Q2868912,Франция,38
Q2463762,Испания,38
Невский завод,Россия,38
Q4898067,США,38
Q52286492,Норвегия,38
Q16842471,Великобритания,37
Q1552142,Германия,37
Q6478434,США,37
Vickers Limited,Великобритания,37
Q3437441,Швеция,37
Q2742109,Испания,37
Q6908150,США,37
Q17145634,США,37
Q2279275,Нидерланды,36
Puget Sound Naval Shipyard,США,36
Q1397597,Германия,36
Joh. C. Tecklenborg,Германия,36
Cantieri Riuniti dell'Adriatico,Италия,36
Q1026563,Великобритания,36
Q21192982,Италия,36
Q55071917,Нидерланды,36
Кузница на Рыбальском,Украина,36
Q5095516,Нидерланды,36
Q2560213,Германия,35
Q1612886,Германия,35
Q27957424,Великобритания,35
Q26710910,Нидерланды,35
Q28569825,Великобритания,34
Q6764149,Канада,34
Hollming,Финляндия,34
Q108744148,Нидерланды,34
Warnowwerft Warnemünde,ГДР,34
Lockheed Shipbuilding and Construction Company,США,34
Q5522292,Индия,34
Q4680167,Румыния,34
Q805723,Литва,34
Штулкен,Германия,33
Штулкен,Германский рейх,33
Q2814406,Япония,33
Q2956394,Франция,33
Q7106970,Швеция,33
Q15637769,Польша,33
Q891830,Индия,33
Cantieri Aeronautici e Navali Triestini,Королевство Италия,33
Q16536357,Италия,33
Q10448832,Китай,33
Karstensens Skibsværft,Дания,33
Q3655760,Италия,32
Ateliers et Chantiers de la Loire,Франция,32
Q7325319,Великобритания,32
Q20653412,Швеция,32
Q22101730,Франция,32
Q14683274,США,32
Тулон,Франция,31
Vickers Shipbuilding and Engineering,Великобритания,31
Q11874481,Финляндия,31
Q30687989,США,31
Q17537921,Франция,31
Q2043455,Германия,31
Q122182243,Россия,31
Q531348,Германия,30
Q637673,Нидерланды,30
Q56432811,Испания,30
Q20112666,Норвегия,30
Q8350285,Испания,30
Q652491,Германия,30
АО «Окская Судоверфь»,,30
Q7535498,США,29
Q277630,Великобритания,29
Брест,Франция,29
Q5000378,Канада,29
Q104520574,Нидерланды,29
Crichton-Vulcan,Финляндия,29
Q12358532,Финляндия,28
Q10577472,Швеция,28
Q946123,Нидерланды,28
Marinette Marine,США,28
Q5599444,США,28
Q11990799,Дания,28
Q2234114,Германия,28
Q22120466,Япония,28
Q25425169,Норвегия,28
Q25511937,Норвегия,28
Q56012145,Италия,28
Q2956390,Индия,27
Q17101117,Великобритания,27
Q83981618,Нидерланды,27
Натанаэль Грин Херрешофф,,27
American Bridge Company,США,27
Österreichische Schiffswerften AG,Австрия,26
Q6535665,США,26
Q2151069,Великобритания,26
Q11613289,Япония,26
Q107072485,Китай,26
Q16565979,Испания,25
Q1003299,Норвегия,25
Q3077291,Франция,25
Q11158393,Норвегия,25
Q1475066,Великобритания,25
Q1959394,Германия,25
Q29093553,США,25
Q4866203,США,25
Q1442711,Канада,25
Q87594828,Испания,25
Q17209885,Япония,25
Q12716462,Норвегия,24
Q5658399,США,24
Q1342306,Великобритания,24
Q1145749,Нидерланды,24
Q6102195,Испания,24
Q23042271,Норвегия,24
Q7330990,США,23
Q49961350,Бельгия,23
Q11382415,Япония,23
Q1564994,Франция,23
Q11972223,Норвегия,23
Рошфор,Франция,23
Q6917118,Швеция,23
Q5139443,Великобритания,23
Q17011535,Канада,23
Q24860611,Япония,23
Odero-Terni-Orlando,Италия,23
Q1333820,Германия,22
Q889813,Нидерланды,22
Q11982099,Норвегия,22
Q47109392,Норвегия,22
Q109101856,Нидерланды,22
Q820324,Швеция,22
Mort's Dock,Австралия,22
Cochin Shipyard,Индия,22
Q4804169,Чили,22
