companyLabel,countryLabel,shipsBuilt,avgLength,latestYear
Верфь Hyundai Mipo,Республика Корея,1495,205.68521433494141971744,2025
Hyundai Heavy Industries,Республика Корея,1154,273.60609205776173285199,2025
Hanwha Ocean,Республика Корея,1143,279.90446034639927073838,2024
Samsung Heavy Industries,Республика Корея,876,281.80228855140186915888,2024
Q1571257,Великобритания,832,80.70944444444444444444,1991
Q7106621,Япония,755,201.94165698478561549101,2024
Q11502552,Япония,745,154.32316155988857938719,2020
Q2642233,Великобритания,743,48.87,1959
Q489251,Республика Корея,609,281.78475716694772344013,2022
Q11481552,Япония,602,203.62010238907849829352,2025
Q877321,Германия,583,106.03675977653631284916,2020
Imabari Shipbuilding,Япония,568,192.3612406015037593985,2025
Harland and Wolff,Великобритания,435,180.07898230088495575221,2003
Q15411288,Китай,383,215.09774782608695652174,2025
Q1700840,Великобритания,339,58.9,1983
Q85913512,Япония,336,212.77106382978723404255,2018
Swan Hunter,Великобритания,310,157.578515625,2007
Q1189406,Норвегия,309,113.3490625,1978
Q5613742,Китай,305,186.78269230769230769231,2024
Q115168196,Китай,299,243.87418556701030927835,2024
Q5210936,Китай,294,240.96476727272727272727,2024
Q703928,Китайская Республика (Тайвань),286,242.46634848484848484848,2025
Fincantieri,Италия,285,214.38080632411067193676,2025
Bath Iron Works,США,281,219.21517241379310344828,2005
Bethlehem Shipbuilding,США,274,166.57161290322580645161,1974
Q11415470,Япония,274,239.07568773234200743494,2018
Q85717793,Нидерланды,273,46.48482905982905982906,2017
Q60045486,Китай,267,296.8207196969696969697,2024
Sasebo Heavy Industries,Япония,267,237.80039682539682539683,2020
Hanjin Heavy Industries,Республика Корея,265,243.57684765625,2019
Русенский судостроительный завод,Болгария,265,99.905078125,2011
Q11484094,Япония,264,259.09118110236220472441,2025
Howaldtswerke-Deutsche Werft,Германия,260,186.86852380952380952381,2010
Cammell Laird,Великобритания,258,128.98581395348837209302,2019
Japan Marine United,Япония,257,223.69613924050632911392,2024
Щецинская судоверфь имени Адольфа Варского,Польша,249,163.27147321428571428571,2011
Верфь Китая CSC Jinling Shipyard,Китай,248,175.74392083333333333333,2020
Q11282532,Япония,235,260.71171296296296296296,2013
Blohm + Voss,Германия,234,147.24757225433526011561,2025
Цзяннаньский судостроительный завод,Китай,228,203.37539247311827956989,2025
Nordic Yards Wismar,Германия,227,173.14627358490566037736,2021
Q11250929,,227,252.46356164383561643836,2017
