companyLabel,countryLabel,shipsBuilt,avgLength,latestYear,companyCoordinates
Yarrow Shipbuilders,Великобритания,12032,112.92485714285714285714,2002,Point(-4.34815 55.8782)
Yarrow Shipbuilders,Соединённое королевство Великобритании и Ирландии,12032,112.92485714285714285714,2002,Point(-4.34815 55.8782)
Верфь Hyundai Mipo,Республика Корея,1495,205.68521433494141971744,2025,Point(129.316666666 35.55)
Армстронг Уитуорт,Великобритания,1296,136.53477272727272727273,1927,Point(-1.0 53.0)
Q489251,Республика Корея,1218,281.78475716694772344013,2022,Point(126.7 34.798333333)
Q11481552,Япония,1204,203.62010238907849829352,2025,Point(133.337777777 34.523333333)
Hyundai Heavy Industries,Республика Корея,1154,273.60609205776173285199,2025,Point(129.316666666 35.55)
Hanwha Ocean,Республика Корея,1143,279.90446034639927073838,2024,Point(128.588611111 34.850277777)
Blohm + Voss,Германия,936,147.24757225433526011561,2025,Point(9.962 53.539)
Swan Hunter,Великобритания,930,157.578515625,2007,Point(-1.4158 55.0119)
Samsung Heavy Industries,Республика Корея,876,281.80228855140186915888,2024,Point(127.137777777 37.438611111)
Kawasaki Heavy Industries,Япония,855,183.62467532467532467532,2020,Point(135.18 34.68055556)
Q1571257,Великобритания,832,80.70944444444444444444,1991,Point(-2.1 57.15)
AG Vulcan Stettin,Веймарская республика,780,131.67316455696202531646,1926,Point(14.571127 53.450671)
AG Vulcan Stettin,Германская империя,780,131.67316455696202531646,1926,Point(14.571127 53.450671)
Q7106621,Япония,755,201.94165698478561549101,2024,Point(129.643 32.933111111)
Q11502552,Япония,745,154.32316155988857938719,2020,Point(132.997777777 34.066166666)
Q2642233,Великобритания,743,48.87,1959,Point(-2.1 57.15)
Q889816,Нидерланды,692,94.44238095238095238095,2024,Point(6.74 53.1625)
Заводы Шихау,Пруссия,620,115.38396226415094339623,1938,Point(19.408888888 54.152222222)
Заводы Шихау,Германский рейх,620,115.38396226415094339623,1938,Point(19.408888888 54.152222222)
Зеленодольский завод имени А. М. Горького,Россия,592,67.53333333333333333333,1991,Point(48.516666666 55.85)
Q877321,Германия,583,106.03675977653631284916,2020,Point(9.795555555 53.514722222)
Imabari Shipbuilding,Япония,568,192.3612406015037593985,2025,Point(132.997777777 34.066166666)
John I. Thornycroft & Company,Великобритания,444,104.3572,1965,Point(-1.3765 50.8931)
Q113462651,Япония,438,98.19054794520547945205,2015,Point(131.897588 32.979848)
Harland and Wolff,Великобритания,435,180.07898230088495575221,2003,Point(-5.93 54.596666666)
Q15411288,Китай,383,215.09774782608695652174,2025,Point(121.469166666 31.232222222)
Q1700840,Великобритания,339,58.9,1983,Point(-2.1 57.15)
Q85913512,Япония,336,212.77106382978723404255,2018,Point(132.997777777 34.066166666)
Q2279275,Нидерланды,324,104.32857142857142857143,2020,Point(6.09821677 51.853802)
Q1189406,Норвегия,309,113.3490625,1978,Point(10.75222222 59.9075)
Q5613742,Китай,305,186.78269230769230769231,2024,Point(113.26 23.13)
Nordic Yards Warnemünde,Германия,304,175.60489655172413793103,2011,Point(12.088333333 54.175277777)
Q115168196,Китай,299,243.87418556701030927835,2024,Point(120.0142 32.17244)
Ateliers et Chantiers de la Loire,Франция,297,180.19714285714285714286,1950,Point(-2.213888888 47.273611111)
Q5210936,Китай,294,240.96476727272727272727,2024,Point(121.6 38.9)
Q1790613,Германия,288,84.3630303030303030303,2021,Point(9.720555555 54.309722222)
Q703928,Китайская Республика (Тайвань),286,242.46634848484848484848,2025,Point(120.2975 22.615)
Fincantieri,Италия,285,214.38080632411067193676,2025,Point(13.770277777 45.650277777)
Q56161333,Нидерланды,284,77.82802816901408450704,2017,Point(6.651472222 53.18525)
